[◁◁◁◁◁◁◁◁](./index.html)

|||Player|SS|
|:-|:-|:-|
|102|ZazaFavela|99.44%|132014|8955|57|668|1102
|103|helpmeplease1|98.54%|81739|8952|82|872|906
|104|Pengzy|99.56%|76212|8946|232|898|531
|105|darkeae|97.79%|51165|8925|23|403|738
|106|_Taiki|98.60%|89599|8859|58|565|900
|107|Dokie|98.86%|197375|8832|58|1314|1172
|108|Gabe5765|98.23%|60607|8820|93|436|288
|109|popera|97.66%|71233|8816|32|880|2837
|110|sunosz|98.52%|109314|8809|130|2114|2411
|111|Luccachu|98.57%|72643|8781|21|356|1309
|112|Roberto|98.75%|79820|8770|79|911|1235
|113|RafaaHS|98.34%|67984|8752|16|188|694
|114|Tell|99.45%|35499|8740|74|917|1033
|115|-Alone-|98.46%|103898|8683|104|903|1831
|116|norbertosnt3|98.90%|88836|8678|68|1145|1070
|117|Sorixx|99.33%|85141|8671|57|925|1639
|118|gFR|97.38%|122907|8660|19|438|971
|119|xKirito|98.45%|57429|8638|212|824|1729
|120|Schach|98.07%|109083|8638|48|1396|1807
|121|Notsuren|98.68%|99140|8636|50|387|602
|122|speed|98.12%|117274|8622|30|321|771
|123|caua|99.01%|53988|8620|109|1282|1004
|124|dark on osu|98.28%|66960|8611|38|838|948
|125|Kafumii|98.92%|77029|8605|16|253|748
|126|Cang Yue|97.75%|75070|8596|55|833|1041
|127|lorenzo101122|97.57%|62275|8584|35|510|758
|128|Saewon|99.24%|190718|8564|219|814|908
|129|Brunows11|98.81%|51210|8541|87|899|825
|130|Karausw|97.54%|25106|8541|23|182|266
|131|Vvdc|97.67%|75266|8538|43|387|1011
|132|Delou|98.29%|65676|8526|50|853|1005
|133|kannyaws|98.90%|93841|8514|47|1290|1461
|134|Seikosei|99.00%|121257|8504|115|771|556
|135|1080p|98.69%|136590|8491|35|888|1120
|136|Ashtar|99.13%|72934|8487|108|1848|291
|137|Pianisuto|99.10%|44371|8466|53|811|1620
|138|- Ruby|99.02%|82755|8459|50|600|965
|139|Arestark|98.50%|68262|8446|19|391|562
|140|Bieuzineo|99.02%|68898|8434|29|826|1396
|141|Igor Cabra|98.76%|68835|8430|13|100|245
|142|Pooru-san|97.70%|96064|8430|66|610|1110
|143|MrLucas|98.18%|53955|8419|12|477|773
|144|Creper|99.02%|113095|8413|58|913|1151
|145|Enki|96.33%|72383|8397|8|268|1172
|146|Donovan|98.78%|101969|8396|58|789|1162
|147|Hettica|99.18%|133464|8385|143|1345|2553
|148|SasukeJPP|98.92%|62105|8380|105|570|237
|149|[ Vitor ]|98.59%|75240|8370|57|645|1086
|150|Felop|97.84%|74591|8356|10|586|1786
|151|Sosty|98.13%|67057|8336|82|649|1580
|152|Leaum|97.48%|84596|8319|15|480|215
|153|Vagner019|97.78%|66236|8317|41|463|1351
|154|EuzinNaVida|95.21%|55944|8315|10|344|363
|155|Akcell10|97.71%|28632|8313|14|375|343
|156|saito s2|97.29%|76354|8277|33|901|1041
|157|manfredo|99.17%|82321|8245|36|472|1158
|158|-Milky-|98.96%|55996|8245|37|1224|1553
|159|Nyaki|97.99%|87491|8218|36|425|361
|160|KumaSlayer|98.63%|57894|8213|164|1085|682
|161|Nukrid|99.08%|118796|8212|204|1382|1137
|162|Luisiho|99.03%|56047|8207|154|1573|1240
|163|oTs-Joaka|98.97%|95484|8206|73|915|2290
|164|RayqF5|99.17%|73018|8191|39|773|1303
|165|himuy3|99.86%|172286|8161|2750|649|82
|166|LucarBonnie|98.25%|63763|8159|44|380|611
|167|Kemosapei|97.83%|73825|8151|32|999|1530
|168|MatheuZiz|99.14%|72672|8150|40|359|582
|169|[ Max ]|98.85%|149627|8146|52|599|515
|170|est|98.44%|26694|8140|73|1162|1119
|171|Draell|98.75%|99217|8124|505|1153|1334
|172|Zubreska|98.68%|130874|8122|39|353|464
|173|LakayForce|98.07%|115738|8115|310|922|1034
|174|Moete|99.08%|152600|8111|127|1551|1428
|175|- M i r a i -|99.00%|57064|8074|28|543|680
|176|TheCoosmicX|98.94%|45290|8048|38|588|1299
|177|perneta23|94.37%|57723|8048|14|270|649
|178|Sordruther|99.25%|45548|8045|86|596|694
|179|Takuya Yamanaka|99.06%|94078|8031|197|2458|3096
|180|Imdiegod|99.16%|39410|8029|41|1082|384
|181|Myshiro Neko|99.08%|83467|8025|490|2956|2174
|182|ReadUmineko|98.96%|102620|8022|24|692|1722
|183|AGW|97.03%|32717|8015|7|140|629
|184|JoaoGMR|98.34%|69926|8000|14|379|536
|185|Maot|97.99%|135878|7988|18|684|1228
|186|potatat|98.63%|114218|7984|32|450|1168
|187|Shott|99.24%|197882|7981|90|1812|1755
|188|-Panday-|98.26%|74134|7966|14|659|927
|189|d-_-b|98.24%|75052|7946|220|813|1019
|190|Bielzaca|98.54%|83869|7946|41|563|1588
|191|Flow-|99.56%|66403|7936|281|1808|3633
|192|SrSkyPlayer|98.76%|67187|7931|119|1563|1183
|193|sushimi|98.66%|51441|7877|77|1290|1082
|194|Fow|98.41%|94329|7873|59|627|1011
|195|sat|98.43%|72397|7871|52|1422|1067
|196|Fawkes|99.23%|115532|7868|133|1404|1261
|197|Voltronn|99.38%|114816|7866|208|1419|2526
|198|Naxtu|98.53%|68679|7846|30|497|720
|199|Stormix|99.06%|81657|7843|83|976|822
|200|xGohanVaRj|97.86%|78976|7836|43|882|1287
|201|v i n i|97.78%|42951|7836|28|283|232
|202|zdh|98.38%|44118|7827|15|247|324
|203|Muge0108|98.69%|128719|7821|211|2430|2415
|204|Minpz|98.10%|100755|7821|71|1082|1328
|205|sirusi|98.88%|73872|7818|68|827|2031
|206|Aphro|98.24%|77004|7816|123|929|1056
|207|Uchirrod|98.46%|58256|7782|38|1015|2459
|208|Take no Hana|99.03%|106888|7780|97|891|2110
|209|Sathanone|98.45%|78425|7778|63|753|471
|210|deltaowo|97.89%|106582|7775|91|415|717
|211|- Stum -|98.26%|31858|7774|11|227|639
|212|Lu1zinha|98.73%|35013|7769|22|389|397
|213|Hanik|98.03%|65743|7763|85|959|1531
|214|Forza|96.90%|47794|7760|22|261|346
|215|Fobenga|99.09%|70814|7759|161|1697|1458
|216|Furyy06|98.03%|57608|7754|13|199|766
|217|Jaguar|98.89%|102567|7744|88|1089|898
|218|Batmann248|98.51%|101141|7743|13|648|1012
|219|LeSombra|98.34%|48379|7736|6|343|439
|220|Keehs|99.02%|34768|7733|47|523|929
|221|-Brites-|97.36%|49911|7726|20|678|978
|222|Verdade|98.71%|155790|7713|2104|1115|2289
|223|Uzi|99.65%|97757|7710|164|868|1284
|224|RafaelTomb|99.08%|43661|7701|17|368|976
